source,target
22082,61983
19506,19506
19506,60279
1082094,19506
12077,19506
19506,34982
19506,60739
12900,19506
19506,19507
19506,89599
16418,19506
15831,19506
19506,86314
15761,19506
1178795,19506
15100,19506
19506,23680
19506,27811
19506,42160
19506,56930
11770,11770
11770,14999
11770,2932562
11770,2838131
11770,511
11770,33054
11770,4600
11770,2190449
11770,31211
11770,1976249
11770,1432094
11770,2159761
11770,515
11770,44810
11770,4785
11770,6929
113,11770
11770,4955
11770,15175
11770,3027
11770,131120
32396,515
515,515
36190,515
44712,515
2056726,515
515,66776
40389,515
515,5699
43774,43774
43774,99596
43774,61956
43774,44762
43774,650
104021,43774
99596,99596
61956,99596
44762,99596
650,99596
104021,99596
11173,99596
1319490,99596
16178,99596
61956,61956
113,113
113,510
10222,113
113,15175
1116483,113
113,1888957
113,131814
113,25666
113,222054
113,1483204
113,1483206
113,936
113,5
113,1241229
113,2922
113,8724
113,30296
113,29903
113,2532964
113,2532965
113,2532961
113,44762
113,650
104021,113
109,113
113,1327
113,882
113,62923
100476,113
15175,15175
15175,204962
1233541,15175
3027,3027
131120,3027
107094,3027
112167,3027
3027,38832
1521150,3027
12074,3027
11155,3027
3027,4027
1330888,3027
3027,83002
2501669,3027
131120,131120
11998,131120
131120,9626
131120,83145
